"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2021/07/01","青森県","三沢市",39726,14464,36.4,"2020/01/01","2021/07/01",22071
"2021/07/01","青森県","むつ市",56790,17899,31.5,"2020/01/01","2021/07/01",22080
"2021/07/01","青森県","つがる市",31998,10040,31.4,"2020/01/01","2021/07/01",22098
"2021/07/01","青森県","平川市",31112,10832,34.8,"2020/01/01","2021/07/01",22101
"2021/07/01","青森県","東津軽郡平内町",10874,3179,29.2,"2020/01/01","2021/07/01",23019
"2021/07/01","青森県","東津軽郡今別町",2577,673,26.1,"2020/01/01","2021/07/01",23035
"2021/07/01","青森県","東津軽郡蓬田村",2763,619,22.4,"2020/01/01","2021/07/01",23043
"2021/07/01","青森県","東津軽郡外ヶ浜町",5901,1583,26.8,"2020/01/01","2021/07/01",23078
"2021/07/01","青森県","西津軽郡鰺ヶ沢町",9730,2202,22.6,"2020/01/01","2021/07/01",23213
"2021/07/01","青森県","西津軽郡深浦町",8019,1949,24.3,"2020/01/01","2021/07/01",23230
"2021/07/01","青森県","中津軽郡西目屋村",1359,336,24.7,"2020/01/01","2021/07/01",23434
"2021/07/01","青森県","南津軽郡藤崎町",14983,3790,25.3,"2020/01/01","2021/07/01",23612
"2021/07/01","青森県","南津軽郡大鰐町",9395,3076,32.7,"2020/01/01","2021/07/01",23621
"2021/07/01","青森県","南津軽郡田舎館村",7787,2120,27.2,"2020/01/01","2021/07/01",23671
"2021/07/01","青森県","北津軽郡板柳町",13448,2799,20.8,"2020/01/01","2021/07/01",23817
"2021/07/01","青森県","北津軽郡鶴田町",12695,2363,18.6,"2020/01/01","2021/07/01",23841
"2021/07/01","青森県","北津軽郡中泊町",10891,1949,17.9,"2020/01/01","2021/07/01",23876
"2021/07/01","青森県","上北郡野辺地町",13094,3633,27.7,"2020/01/01","2021/07/01",24015
"2021/07/01","青森県","上北郡七戸町",15424,4743,30.8,"2020/01/01","2021/07/01",24023
"2021/07/01","青森県","上北郡六戸町",11033,3497,31.7,"2020/01/01","2021/07/01",24058
"2021/07/01","青森県","上北郡横浜町",4439,1577,35.5,"2020/01/01","2021/07/01",24066
"2021/07/01","青森県","上北郡東北町",17431,4276,24.5,"2020/01/01","2021/07/01",24082
"2021/07/01","青森県","上北郡六ヶ所村",10265,2435,23.7,"2020/01/01","2021/07/01",24112
"2021/07/01","青森県","上北郡おいらせ町",25293,7660,30.3,"2020/01/01","2021/07/01",24121
"2021/07/01","青森県","下北郡大間町",5237,1128,21.5,"2020/01/01","2021/07/01",24236
"2021/07/01","青森県","下北郡東通村",6330,1615,25.5,"2020/01/01","2021/07/01",24244
"2021/07/01","青森県","下北郡風間浦村",1855,478,25.8,"2020/01/01","2021/07/01",24252
"2021/07/01","青森県","下北郡佐井村",1960,538,27.4,"2020/01/01","2021/07/01",24261
"2021/07/01","青森県","三戸郡三戸町",9895,2816,28.5,"2020/01/01","2021/07/01",24414
"2021/07/01","青森県","三戸郡五戸町",17018,4145,24.4,"2020/01/01","2021/07/01",24422
"2021/07/01","青森県","三戸郡田子町",5394,1471,27.3,"2020/01/01","2021/07/01",24431
"2021/07/01","青森県","三戸郡南部町",17870,4028,22.5,"2020/01/01","2021/07/01",24457
"2021/07/01","青森県","三戸郡階上町",13404,3459,25.8,"2020/01/01","2021/07/01",24465
"2021/07/01","青森県","三戸郡新郷村",2421,568,23.5,"2020/01/01","2021/07/01",24503
"2021/07/01","岩手県","盛岡市",288470,104932,36.4,"2020/01/01","2021/07/01",32018
"2021/07/01","岩手県","宮古市",51744,14744,28.5,"2020/01/01","2021/07/01",32026
"2021/07/01","岩手県","大船渡市",35849,10036,28.0,"2020/01/01","2021/07/01",32034
"2021/07/01","岩手県","花巻市",95235,25219,26.5,"2020/01/01","2021/07/01",32051
"2021/07/01","岩手県","北上市",92546,21449,23.2,"2020/01/01","2021/07/01",32069
"2021/07/01","岩手県","久慈市",34696,6907,19.9,"2020/01/01","2021/07/01",32077
"2021/07/01","岩手県","遠野市",26555,6099,23.0,"2020/01/01","2021/07/01",32085
"2021/07/01","岩手県","一関市",115426,32155,27.9,"2020/01/01","2021/07/01",32093
"2021/07/01","岩手県","陸前高田市",18931,4516,23.9,"2020/01/01","2021/07/01",32107
"2021/07/01","岩手県","釜石市",32977,11346,34.4,"2020/01/01","2021/07/01",32115
"2021/07/01","岩手県","二戸市",26576,6543,24.6,"2020/01/01","2021/07/01",32131
"2021/07/01","岩手県","八幡平市",25276,7977,31.6,"2020/01/01","2021/07/01",32140
"2021/07/01","岩手県","奥州市",116082,35491,30.6,"2020/01/01","2021/07/01",32158
"2021/07/01","岩手県","滝沢市",55448,18470,33.3,"2020/01/01","2021/07/01",32166
"2021/07/01","岩手県","岩手郡雫石町",16385,4214,25.7,"2020/01/01","2021/07/01",33014
"2021/07/01","岩手県","岩手郡葛巻町",6017,3017,50.1,"2020/01/01","2021/07/01",33022
"2021/07/01","岩手県","岩手郡岩手町",13137,3405,25.9,"2020/01/01","2021/07/01",33031
"2021/07/01","岩手県","紫波郡紫波町",33114,11148,33.7,"2020/01/01","2021/07/01",33219
"2021/07/01","岩手県","紫波郡矢巾町",27377,8610,31.4,"2020/01/01","2021/07/01",33227
"2021/07/01","岩手県","和賀郡西和賀町",5537,1064,19.2,"2020/01/01","2021/07/01",33669
"2021/07/01","岩手県","胆沢郡金ケ崎町",15622,4019,25.7,"2020/01/01","2021/07/01",33812
"2021/07/01","岩手県","西磐井郡平泉町",7485,1747,23.3,"2020/01/01","2021/07/01",34029
"2021/07/01","岩手県","気仙郡住田町",5384,1469,27.3,"2020/01/01","2021/07/01",34410
"2021/07/01","岩手県","上閉伊郡大槌町",11663,2620,22.5,"2020/01/01","2021/07/01",34614
"2021/07/01","岩手県","下閉伊郡山田町",15330,4406,28.7,"2020/01/01","2021/07/01",34827
"2021/07/01","岩手県","下閉伊郡岩泉町",9158,1999,21.8,"2020/01/01","2021/07/01",34835
"2021/07/01","岩手県","下閉伊郡田野畑村",3313,642,19.4,"2020/01/01","2021/07/01",34843
"2021/07/01","岩手県","下閉伊郡普代村",2628,675,25.7,"2020/01/01","2021/07/01",34851
"2021/07/01","岩手県","九戸郡軽米町",8984,2549,28.4,"2020/01/01","2021/07/01",35017
"2021/07/01","岩手県","九戸郡野田村",4220,943,22.3,"2020/01/01","2021/07/01",35033
"2021/07/01","岩手県","九戸郡九戸村",5706,1311,23.0,"2020/01/01","2021/07/01",35068
"2021/07/01","岩手県","九戸郡洋野町",16436,4481,27.3,"2020/01/01","2021/07/01",35076
"2021/07/01","岩手県","二戸郡一戸町",12210,2708,22.2,"2020/01/01","2021/07/01",35246
"2021/07/01","宮城県","仙台市",1064060,389353,36.6,"2020/01/01","2021/07/01",41009
"2021/07/01","宮城県","石巻市",142638,37622,26.4,"2020/01/01","2021/07/01",42021
"2021/07/01","宮城県","塩竈市",53975,19524,36.2,"2020/01/01","2021/07/01",42030
"2021/07/01","宮城県","気仙沼市",62601,18913,30.2,"2020/01/01","2021/07/01",42056
"2021/07/01","宮城県","白石市",33712,9065,26.9,"2020/01/01","2021/07/01",42064
"2021/07/01","宮城県","名取市",79197,28198,35.6,"2020/01/01","2021/07/01",42072
"2021/07/01","宮城県","角田市",28728,8018,27.9,"2020/01/01","2021/07/01",42081
"2021/07/01","宮城県","多賀城市",62416,22864,36.6,"2020/01/01","2021/07/01",42099
"2021/07/01","宮城県","岩沼市",43995,14222,32.3,"2020/01/01","2021/07/01",42111
"2021/07/01","宮城県","登米市",78596,15505,19.7,"2020/01/01","2021/07/01",42129
"2021/07/01","宮城県","栗原市",67117,17274,25.7,"2020/01/01","2021/07/01",42137
"2021/07/01","宮城県","東松島市",39775,13154,33.1,"2020/01/01","2021/07/01",42145
"2021/07/01","宮城県","大崎市",129444,35676,27.6,"2020/01/01","2021/07/01",42153
"2021/07/01","宮城県","富谷市",52567,18799,35.8,"2020/01/01","2021/07/01",42161
"2021/07/01","宮城県","刈田郡蔵王町",11844,3287,27.8,"2020/01/01","2021/07/01",43010
"2021/07/01","宮城県","刈田郡七ヶ宿町",1376,501,36.4,"2020/01/01","2021/07/01",43028
"2021/07/01","宮城県","柴田郡大河原町",23710,8156,34.4,"2020/01/01","2021/07/01",43214
"2021/07/01","宮城県","柴田郡村田町",10800,2507,23.2,"2020/01/01","2021/07/01",43222
"2021/07/01","宮城県","柴田郡柴田町",37597,14859,39.5,"2020/01/01","2021/07/01",43231
"2021/07/01","宮城県","柴田郡川崎町",8685,2486,28.6,"2020/01/01","2021/07/01",43249
"2021/07/01","宮城県","伊具郡丸森町",13292,3265,24.6,"2020/01/01","2021/07/01",43419
"2021/07/01","宮城県","亘理郡亘理町",33577,11369,33.9,"2020/01/01","2021/07/01",43613
"2021/07/01","宮城県","亘理郡山元町",12227,3575,29.2,"2020/01/01","2021/07/01",43621
"2021/07/01","宮城県","宮城郡松島町",13896,4920,35.4,"2020/01/01","2021/07/01",44016
"2021/07/01","宮城県","宮城郡七ヶ浜町",18716,5248,28.0,"2020/01/01","2021/07/01",44041
"2021/07/01","宮城県","宮城郡利府町",36090,13237,36.7,"2020/01/01","2021/07/01",44067
