団体コード,都道府県名,郡名,市区町村名
112216,埼玉県,,草加市
112224,埼玉県,,越谷市
112232,埼玉県,,蕨市
112241,埼玉県,,戸田市
112259,埼玉県,,入間市
112275,埼玉県,,朝霞市
112283,埼玉県,,志木市
112291,埼玉県,,和光市
112305,埼玉県,,新座市
112313,埼玉県,,桶川市
112321,埼玉県,,久喜市
112330,埼玉県,,北本市
112348,埼玉県,,八潮市
112356,埼玉県,,富士見市
112372,埼玉県,,三郷市
112381,埼玉県,,蓮田市
112399,埼玉県,,坂戸市
112402,埼玉県,,幸手市
112411,埼玉県,,鶴ヶ島市
112429,埼玉県,,日高市
112437,埼玉県,,吉川市
112453,埼玉県,,ふじみ野市
112461,埼玉県,,白岡市
113018,埼玉県,北足立郡,伊奈町
113247,埼玉県,入間郡,三芳町
113263,埼玉県,入間郡,毛呂山町
113271,埼玉県,入間郡,越生町
113417,埼玉県,比企郡,滑川町
113425,埼玉県,比企郡,嵐山町
113433,埼玉県,比企郡,小川町
113468,埼玉県,比企郡,川島町
113476,埼玉県,比企郡,吉見町
113484,埼玉県,比企郡,鳩山町
113492,埼玉県,比企郡,ときがわ町
113611,埼玉県,秩父郡,横瀬町
113620,埼玉県,秩父郡,皆野町
113638,埼玉県,秩父郡,長瀞町
113654,埼玉県,秩父郡,小鹿野町
113697,埼玉県,秩父郡,東秩父村
113816,埼玉県,児玉郡,美里町
113832,埼玉県,児玉郡,神川町
113859,埼玉県,児玉郡,上里町
114081,埼玉県,大里郡,寄居町
114421,埼玉県,南埼玉郡,宮代町
114642,埼玉県,北葛飾郡,杉戸町
114651,埼玉県,北葛飾郡,松伏町
121002,千葉県,,千葉市
122025,千葉県,,銚子市
122033,千葉県,,市川市
122041,千葉県,,船橋市
122050,千葉県,,館山市
122068,千葉県,,木更津市
122076,千葉県,,松戸市
122084,千葉県,,野田市
122106,千葉県,,茂原市
122114,千葉県,,成田市
122122,千葉県,,佐倉市
122131,千葉県,,東金市
122157,千葉県,,旭市
122165,千葉県,,習志野市
122173,千葉県,,柏市
122181,千葉県,,勝浦市
122190,千葉県,,市原市
122203,千葉県,,流山市
122211,千葉県,,八千代市
122220,千葉県,,我孫子市
122238,千葉県,,鴨川市
122246,千葉県,,鎌ケ谷市
122254,千葉県,,君津市
122262,千葉県,,富津市
122271,千葉県,,浦安市
122289,千葉県,,四街道市
122297,千葉県,,袖ケ浦市
122301,千葉県,,八街市
122319,千葉県,,印西市
122327,千葉県,,白井市
122335,千葉県,,富里市
122343,千葉県,,南房総市
122351,千葉県,,匝瑳市
122360,千葉県,,香取市
122378,千葉県,,山武市
122386,千葉県,,いすみ市
122394,千葉県,,大網白里市
123226,千葉県,印旛郡,酒々井町
123293,千葉県,印旛郡,栄町
123421,千葉県,香取郡,神崎町
123471,千葉県,香取郡,多古町
123498,千葉県,香取郡,東庄町
124036,千葉県,山武郡,九十九里町
124095,千葉県,山武郡,芝山町
124109,千葉県,山武郡,横芝光町
124214,千葉県,長生郡,一宮町
124222,千葉県,長生郡,睦沢町
124231,千葉県,長生郡,長生村
124249,千葉県,長生郡,白子町
124265,千葉県,長生郡,長柄町
124273,千葉県,長生郡,長南町
124419,千葉県,夷隅郡,大多喜町
124435,千葉県,夷隅郡,御宿町
124630,千葉県,安房郡,鋸南町
131016,東京都,,千代田区
131024,東京都,,中央区
131032,東京都,,港区
131041,東京都,,新宿区
131059,東京都,,文京区
